chinese,pinyin,spanish,category
我是学生,wǒ shì xué sheng,Yo soy estudiante,Pronombres
你叫什么名字？,nǐ jiào shén me míng zi?,¿Cómo te llamas tú?,Pronombres
他是医生,tā shì yī shēng,Él es médico,Pronombres
她来自西班牙,tā lái zì xī bān yá,Ella es de España,Pronombres
它很可爱,tā hěn kě ài,Es (animal/objeto) muy lindo,Pronombres
我们学习中文,wǒ men xué xí zhōng wén,Nosotros estudiamos chino,Pronombres
你们好吗？,nǐ men hǎo ma?,¿Cómo estáis vosotros?,Pronombres
他们去公园,tā men qù gōng yuán,Ellos van al parque,Pronombres
这是什么？,zhè shì shén me?,¿Qué es esto? (demostrativo),Pronombres
那是什么？,nà shì shén me?,¿Qué es eso? (demostrativo),Pronombres
这些是苹果,zhè xiē shì píng guǒ,Estas son manzanas (demostrativo),Pronombres
那些是椅子,nà xiē shì yǐ zi,Aquellas son sillas (demostrativo),Pronombres
谁是你的老师？,shéi shì nǐ de lǎo shī?,¿Quién es tu profesor?,Pronombres
哪里可以买水？,nǎ lǐ kě yǐ mǎi shuǐ?,¿Dónde se puede comprar agua?,Pronombres
什么时候上课？,shén me shí hou shàng kè?,¿Cuándo es la clase?,Pronombres
为什么学习中文？,wèi shén me xué xí zhōng wén?,¿Por qué estudiar chino?,Pronombres
怎么去银行？,zěn me qù yín háng?,¿Cómo ir al banco?,Pronombres
多少钱？,duō shǎo qián?,¿Cuánto cuesta?,Pronombres
几个人？,jǐ gè rén?,¿Cuántas personas?,Pronombres
我自己做饭,wǒ zì jǐ zuò fàn,Yo mismo cocino (reflexivo),Pronombres
你自己试试,nǐ zì jǐ shì shi,Prueba tú mismo (reflexivo),Pronombres
