chinese,pinyin,spanish,category
我,wǒ,Yo,Pronombres personales
你,nǐ,Tú,Pronombres personales
您,nín,Usted (formal),Pronombres personales
他,tā,Él,Pronombres personales
她,tā,Ella,Pronombres personales
它,tā,Ello (para objetos/animales),Pronombres personales
我们,wǒ men,Nosotros/Nosotras,Pronombres personales
你们,nǐ men,Vosotros/Vosotras,Pronombres personales
他们,tā men,Ellos,Pronombres personales
她们,tā men,Ellas,Pronombres personales
它们,tā men,Ellos/Ellas (para objetos/animales),Pronombres personales
自己,zì jǐ,Mismo/a (reflexivo),Pronombres personales
这,zhè,Este/Esta (cercano),Pronombres demostrativos
那,nà,Ese/Esa/Aquel/Aquella (lejano),Pronombres demostrativos
这些,zhè xiē,Estos/Estas,Pronombres demostrativos
那些,nà xiē,Esos/Esas/Aquellos/Aquellas,Pronombres demostrativos
这里,zhè lǐ,Aquí,Pronombres demostrativos
那里,nà lǐ,Allí,Pronombres demostrativos
谁,shéi,Quién/Quiénes,Pronombres interrogativos
什么,shén me,Qué,Pronombres interrogativos
哪,nǎ,Cuál/Cuáles,Pronombres interrogativos
哪里,nǎ lǐ,Dónde,Pronombres interrogativos
什么时候,shén me shí hou,Cuándo,Pronombres interrogativos
为什么,wèi shén me,Por qué,Pronombres interrogativos
怎么,zěn me,Cómo,Pronombres interrogativos
多少,duō shao,Cuánto/a (cantidad),Pronombres interrogativos
几,jǐ,Cuántos/as (número pequeño),Pronombres interrogativos
我的,wǒ de,Mi/mis,Pronombres posesivos
你的,nǐ de,Tu/tus,Pronombres posesivos
您的,nín de,Su/sus (formal),Pronombres posesivos
他的,tā de,Su/sus (de él),Pronombres posesivos
她的,tā de,Su/sus (de ella),Pronombres posesivos
它的,tā de,Su/sus (de objeto/animal),Pronombres posesivos
我们的,wǒ men de,Nuestro/a/os/as,Pronombres posesivos
你们的,nǐ men de,Vuestro/a/os/as,Pronombres posesivos
他们的,tā men de,Su/sus (de ellos),Pronombres posesivos
她们的,tā men de,Su/sus (de ellas),Pronombres posesivos
它们的,tā men de,Su/sus (de objetos/animales),Pronombres posesivos
自己的,zì jǐ de,Propio/a (posesivo reflexivo),Pronombres posesivos
别人的,bié ren de,De otra persona,Pronombres posesivos
大家的,dà jiā de,De todos (colectivo),Pronombres posesivos
谁的,shéi de,De quién,Pronombres interrogativos posesivos
这个的,zhè ge de,De este,Pronombres demostrativos posesivos
那个的,nà ge de,De ese,Pronombres demostrativos posesivos
这些的,zhè xiē de,De estos,Pronombres demostrativos posesivos
那些的,nà xiē de,De esos,Pronombres demostrativos posesivos
这是我的书,zhè shì wǒ de shū,Este es mi libro,Ejemplos Pronombres posesivos
那是你的笔吗？,nà shì nǐ de bǐ ma?,¿Esa es tu pluma?,Ejemplos Pronombres posesivos
他的手机很新,tā de shǒu jī hěn xīn,Su teléfono (de él) es muy nuevo,Ejemplos Pronombres posesivos
我们的老师很好,wǒ men de lǎo shī hěn hǎo,Nuestra profesora es muy buena,Ejemplos Pronombres posesivos
这是谁的书包？,zhè shì shéi de shū bāo?,¿De quién es esta mochila?,Ejemplos Pronombres interrogativos
我的车是蓝色的,wǒ de chē shì lán sè de,Mi coche es azul,Ejemplos Pronombres posesivos
你喜欢你的工作吗？,nǐ xǐ huān nǐ de gōng zuò ma?,¿Te gusta tu trabajo?,Ejemplos Pronombres posesivos
他们的家很大,tā men de jiā hěn dà,Su casa (de ellos) es muy grande,Ejemplos Pronombres posesivos
这是我的，那是你的,zhè shì wǒ de_ nà shì nǐ de,Esto es mío_eso es tuyo,Ejemplos Pronombres posesivos
她自己做的,zì jǐ zuò de,Ella lo hizo (por sí misma),Ejemplos Pronombres reflexivos
这是我的朋友,zhè shì wǒ de péng you,Este es mi amigo,Ejemplos Pronombres posesivos
我们有自己的问题,wǒ men yǒu zì jǐ de wèn tí,Tenemos nuestros propios problemas,Ejemplos Pronombres reflexivos
这是谁的钥匙？,zhè shì shéi de yào shi?,¿De quién son estas llaves?,Ejemplos Pronombres interrogativos
您的意见很重要,nín de yì jiàn hěn zhòng yào,Su opinión (formal) es muy importante,Ejemplos Pronombres posesivos
它的颜色很漂亮,tā de yán sè hěn piào liang,Su color (de objeto/animal) es muy bonito,Ejemplos Pronombres posesivos
这些是我们的照片,zhè xiē shì wǒ men de zhào piàn,Estas son nuestras fotos,Ejemplos Pronombres posesivos
那是他们的车,nà shì tā men de chē,Ese es su coche (de ellos),Ejemplos Pronombres posesivos
我自己去,wǒ zì jǐ qù,Voy yo mismo/sola,Ejemplos Pronombres reflexivos
你们有自己的房间吗？,nǐ men yǒu zì jǐ de fáng jiān ma?,¿Tenéis vuestra propia habitación?,Ejemplos Pronombres reflexivos
这是他的还是她的？,zhè shì tā de hái shì tā de?,¿Esto es de él o de ella?,Ejemplos Pronombres posesivos
我是学生,wǒ shì xué sheng,Yo soy estudiante,Ejemplos Pronombres
你叫什么名字？,nǐ jiào shén me míng zi?,¿Cómo te llamas tú?,Ejemplos Pronombres
他是医生,tā shì yī shēng,Él es médico,Ejemplos Pronombres
她来自西班牙,tā lái zì xī bān yá,Ella es de España,Ejemplos Pronombres
它很可爱,tā hěn kě ài,Es (animal/objeto) muy lindo,Ejemplos Pronombres
我们学习中文,wǒ men xué xí zhōng wén,Nosotros estudiamos chino,Ejemplos Pronombres
你们好吗？,nǐ men hǎo ma?,¿Cómo estáis vosotros?,Ejemplos Pronombres
他们去公园,tā men qù gōng yuán,Ellos van al parque,Ejemplos Pronombres
这是什么？,zhè shì shén me?,¿Qué es esto?,Ejemplos Pronombres demostrativos
那是什么？,nà shì shén me?,¿Qué es eso?,Ejemplos Pronombres demostrativos
这些是苹果,zhè xiē shì píng guǒ,Estas son manzanas,Ejemplos Pronombres demostrativos
那些是椅子,nà xiē shì yǐ zi,Aquellas son sillas,Ejemplos Pronombres demostrativos
谁是你的老师？,shéi shì nǐ de lǎo shī?,¿Quién es tu profesor?,Ejemplos Pronombres interrogativos
哪里可以买水？,nǎ lǐ kě yǐ mǎi shuǐ?,¿Dónde se puede comprar agua?,Ejemplos Pronombres interrogativos
什么时候上课？,shén me shí hou shàng kè?,¿Cuándo es la clase?,Ejemplos Pronombres interrogativos
为什么学习中文？,wèi shén me xué xí zhōng wén?,¿Por qué estudiar chino?,Ejemplos Pronombres interrogativos
怎么去银行？,zěn me qù yín háng?,¿Cómo ir al banco?,Ejemplos Pronombres interrogativos
多少钱？,duō shǎo qián?,¿Cuánto cuesta?,Ejemplos Pronombres interrogativos
几个人？,jǐ gè rén?,¿Cuántas personas?,Ejemplos Pronombres interrogativos
我自己做饭,wǒ zì jǐ zuò fàn,Yo mismo cocino,Ejemplos Pronombres reflexivos
你自己试试,nǐ zì jǐ shì shi,Prueba tú mismo,Ejemplos Pronombres reflexivos
我想吃,wǒ xiǎng chī,Yo quiero comer,Pronombre + verbo
我饿了,wǒ è le,Yo tengo hambre,Pronombre + verbo
你要喝,nǐ yào hē,Tú quieres beber,Pronombre + verbo
他喜欢,tā xǐ huān,A él le gusta,Pronombre + verbo
她需要,tā xū yào,Ella necesita,Pronombre + verbo
我们学习,wǒ men xué xí,Nosotros estudiamos,Pronombre + verbo
你们工作,nǐ men gōng zuò,Vosotros trabajáis,Pronombre + verbo
他们去,tā men qù,Ellos van,Pronombre + verbo
我可以,wǒ kě yǐ,Yo puedo (verbo auxiliar),Pronombre + verbo
你应该,nǐ yīng gāi,Tú deberías (verbo auxiliar),Pronombre + verbo
我们必须,wǒ men bì xū,Nosotros debemos (verbo auxiliar),Pronombre + verbo
我会说,wǒ huì shuō,Yo sé hablar (verbo auxiliar),Pronombre + verbo
你要去吗？,nǐ yào qù ma?,¿Tú quieres ir?,Pronombre + verbo
我能帮忙,wǒ néng bāng máng,Yo puedo ayudar (verbo auxiliar),Pronombre + verbo
她在睡觉,tā zài shuì jiào,Ella está durmiendo,Pronombre + verbo progresivo
我们在吃饭,wǒ men zài chī fàn,Nosotros estamos comiendo,Pronombre + verbo progresivo
你要买什么？,nǐ yào mǎi shén me?,¿Qué quieres comprar?,Pronombre + verbo
他们想旅行,tā men xiǎng lǚ xíng,Ellos quieren viajar,Pronombre + verbo
我爱中国,wǒ ài zhōng guó,Yo amo China,Pronombre + verbo
你明白吗？,nǐ míng bai ma?,¿Tú entiendes?,Pronombre + verbo
